memset_erms,2,4096,1048576,0,3,174773765
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,2048,2097152,0,0,154026449
memset_erms,2,2048,2097152,0,0,164891857
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,2048,2097152,0,1,164314366
memset_erms,2,2048,2097152,0,1,165217467
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,2048,2097152,0,2,152602237
memset_erms,2,2048,2097152,0,2,165656402
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,2048,2097152,0,3,159312316
memset_erms,2,2048,2097152,0,3,153783524
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,1024,4194304,0,0,166670508
memset_erms,2,1024,4194304,0,0,155802418
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,1024,4194304,0,1,160858263
memset_erms,2,1024,4194304,0,1,156656672
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,1024,4194304,0,2,158948416
memset_erms,2,1024,4194304,0,2,155397258
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,1024,4194304,0,3,155642790
memset_erms,2,1024,4194304,0,3,166073858
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,512,8388608,0,0,165024634
memset_erms,2,512,8388608,0,0,176993595
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,512,8388608,0,1,170932065
memset_erms,2,512,8388608,0,1,164462536
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,512,8388608,0,2,158845720
memset_erms,2,512,8388608,0,2,165357544
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,512,8388608,0,3,161214590
memset_erms,2,512,8388608,0,3,163643247
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,16777216,0,0,363025346
memset_erms,2,500,16777216,0,0,350275051
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,16777216,0,1,353913599
memset_erms,2,500,16777216,0,1,337061264
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,16777216,0,2,379530820
memset_erms,2,500,16777216,0,2,346148538
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,16777216,0,3,368497208
memset_erms,2,500,16777216,0,3,333039428
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,33554432,0,0,752419961
memset_erms,2,500,33554432,0,0,742900670
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,33554432,0,1,758893945
memset_erms,2,500,33554432,0,1,730821942
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,33554432,0,2,740031885
memset_erms,2,500,33554432,0,2,727393704
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,33554432,0,3,743751114
memset_erms,2,500,33554432,0,3,709895078
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,67108864,0,0,1498286013
memset_erms,2,500,67108864,0,0,1459607736
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,67108864,0,1,1501566888
memset_erms,2,500,67108864,0,1,1441124489
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,67108864,0,2,1481414968
memset_erms,2,500,67108864,0,2,1488570329
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,67108864,0,3,1508651339
memset_erms,2,500,67108864,0,3,1452593362
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,134217728,0,0,3020853929
memset_erms,2,500,134217728,0,0,2918576465
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,134217728,0,1,3031055742
memset_erms,2,500,134217728,0,1,2912142096
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,134217728,0,2,3004147207
memset_erms,2,500,134217728,0,2,2913992483
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,134217728,0,3,3018706258
memset_erms,2,500,134217728,0,3,2914009370
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,268435456,0,0,5832881494
memset_erms,2,500,268435456,0,0,6032516798
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,268435456,0,1,5844181449
memset_erms,2,500,268435456,0,1,6030695730
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,268435456,0,2,5826909733
memset_erms,2,500,268435456,0,2,6039060729
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,2,500,268435456,0,3,5861667721
memset_erms,2,500,268435456,0,3,6043253016
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,16384,262144,0,0,144619234
memset_erms,4,16384,262144,0,0,142831358
memset_erms,4,16384,262144,0,0,145799460
memset_erms,4,16384,262144,0,0,153667024
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,16384,262144,0,1,145228213
memset_erms,4,16384,262144,0,1,157076987
memset_erms,4,16384,262144,0,1,156500386
memset_erms,4,16384,262144,0,1,146722166
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,16384,262144,0,2,139802191
memset_erms,4,16384,262144,0,2,146019093
memset_erms,4,16384,262144,0,2,153962429
memset_erms,4,16384,262144,0,2,149850356
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,16384,262144,0,3,153107361
memset_erms,4,16384,262144,0,3,145797150
memset_erms,4,16384,262144,0,3,153871787
memset_erms,4,16384,262144,0,3,154525903
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,8192,524288,0,0,150252589
memset_erms,4,8192,524288,0,0,156377909
memset_erms,4,8192,524288,0,0,160437513
memset_erms,4,8192,524288,0,0,160891885
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,8192,524288,0,1,153265858
memset_erms,4,8192,524288,0,1,152070026
memset_erms,4,8192,524288,0,1,155781547
memset_erms,4,8192,524288,0,1,159716060
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,8192,524288,0,2,151102045
memset_erms,4,8192,524288,0,2,149440557
memset_erms,4,8192,524288,0,2,165353131
memset_erms,4,8192,524288,0,2,153140635
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,8192,524288,0,3,161515453
memset_erms,4,8192,524288,0,3,164305129
memset_erms,4,8192,524288,0,3,147887988
memset_erms,4,8192,524288,0,3,161350147
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,4096,1048576,0,0,153361265
memset_erms,4,4096,1048576,0,0,154327724
memset_erms,4,4096,1048576,0,0,164741467
memset_erms,4,4096,1048576,0,0,163770042
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,4096,1048576,0,1,159368578
memset_erms,4,4096,1048576,0,1,152772932
memset_erms,4,4096,1048576,0,1,155244646
memset_erms,4,4096,1048576,0,1,158733565
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,4096,1048576,0,2,155670039
memset_erms,4,4096,1048576,0,2,164525982
memset_erms,4,4096,1048576,0,2,156548609
memset_erms,4,4096,1048576,0,2,162819588
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,4096,1048576,0,3,150250674
memset_erms,4,4096,1048576,0,3,163747762
memset_erms,4,4096,1048576,0,3,163033063
memset_erms,4,4096,1048576,0,3,164167131
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,2048,2097152,0,0,156212549
memset_erms,4,2048,2097152,0,0,156076790
memset_erms,4,2048,2097152,0,0,155302596
memset_erms,4,2048,2097152,0,0,159860931
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,2048,2097152,0,1,168016612
memset_erms,4,2048,2097152,0,1,161175650
memset_erms,4,2048,2097152,0,1,166825760
memset_erms,4,2048,2097152,0,1,179660129
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,2048,2097152,0,2,155631347
memset_erms,4,2048,2097152,0,2,156718263
memset_erms,4,2048,2097152,0,2,160570434
memset_erms,4,2048,2097152,0,2,157159228
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,2048,2097152,0,3,161379474
memset_erms,4,2048,2097152,0,3,162675977
memset_erms,4,2048,2097152,0,3,157603355
memset_erms,4,2048,2097152,0,3,167432052
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,1024,4194304,0,0,154021038
memset_erms,4,1024,4194304,0,0,154088203
memset_erms,4,1024,4194304,0,0,154774206
memset_erms,4,1024,4194304,0,0,166760270
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,1024,4194304,0,1,154729369
memset_erms,4,1024,4194304,0,1,165562556
memset_erms,4,1024,4194304,0,1,155047584
memset_erms,4,1024,4194304,0,1,155572959
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,1024,4194304,0,2,164494050
memset_erms,4,1024,4194304,0,2,155917271
memset_erms,4,1024,4194304,0,2,160294900
memset_erms,4,1024,4194304,0,2,161829114
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,1024,4194304,0,3,160948391
memset_erms,4,1024,4194304,0,3,153911895
memset_erms,4,1024,4194304,0,3,152755172
memset_erms,4,1024,4194304,0,3,154888322
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,512,8388608,0,0,224969268
memset_erms,4,512,8388608,0,0,225699749
memset_erms,4,512,8388608,0,0,229496655
memset_erms,4,512,8388608,0,0,222537207
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,512,8388608,0,1,236913948
memset_erms,4,512,8388608,0,1,222263788
memset_erms,4,512,8388608,0,1,221678070
memset_erms,4,512,8388608,0,1,227165449
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,512,8388608,0,2,237383249
memset_erms,4,512,8388608,0,2,223887807
memset_erms,4,512,8388608,0,2,223424840
memset_erms,4,512,8388608,0,2,228853997
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,512,8388608,0,3,223328019
memset_erms,4,512,8388608,0,3,225982981
memset_erms,4,512,8388608,0,3,222605903
memset_erms,4,512,8388608,0,3,233806094
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,16777216,0,0,604025809
memset_erms,4,500,16777216,0,0,588345136
memset_erms,4,500,16777216,0,0,591398067
memset_erms,4,500,16777216,0,0,604985719
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,16777216,0,1,584777307
memset_erms,4,500,16777216,0,1,580927562
memset_erms,4,500,16777216,0,1,601265193
memset_erms,4,500,16777216,0,1,607760028
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,16777216,0,2,597517707
memset_erms,4,500,16777216,0,2,593365180
memset_erms,4,500,16777216,0,2,585338677
memset_erms,4,500,16777216,0,2,608156760
func,nthreads,iter,size,align,reuse,time_ns
