func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,0,0,53615146
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,1,0,63173192
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,32,0,53660200
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2047,0,61154375
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2048,0,53320123
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2049,0,61729879
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4031,0,134169924
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4032,0,55391594
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4033,0,133031607
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,0,1,53409897
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,1,1,64470338
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,32,1,53570020
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2047,1,61438324
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2048,1,53134444
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2049,1,61748444
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4031,1,134573026
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4032,1,55566839
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4033,1,133415184
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,0,2,53271844
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,1,2,63110044
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,32,2,53105597
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2047,2,61361202
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2048,2,53191356
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,2049,2,61622466
func,nthreads,iter,size,align,reuse,time_ns
memcpy_erms,1,1048576,4096,4031,2,133446633
